Date,Plot,Trt,TrtName,NewTrt,GCC,Drop,Outlier_Notes,Notes
6/21/21,19,1,drought,dry w/ deluge,0.3473551,n,,"Image very crooked like phone tilted, may be distorted"
6/21/21,20,2,wet,amb w/ deluge,0.3609997,n,,
6/21/21,21,4,ambient (w/ del),amb,0.3647063,n,,
6/21/21,22,1,drought,dry w/ deluge,0.3597358,n,,"Image very crooked like phone tilted, may be distorted"
6/21/21,23,4,ambient (w/ del),amb,0.3578026,n,,
6/21/21,24,2,wet,amb w/ deluge,0.3587162,n,,
6/21/21,26,4,ambient (w/ del),amb,0.3638648,n,,
6/21/21,28,3,ambient (no del),amb,0.3498378,n,,
6/21/21,29,4,ambient (w/ del),amb,0.3575174,n,,Flowering cactus ~2% of photo yellow flower
6/21/21,30,2,wet,amb w/ deluge,0.3565906,n,,Cropped bottom corner off
6/21/21,31,3,ambient (no del),amb,0.3555989,n,,
6/21/21,32,4,ambient (w/ del),amb,0.3536343,n,,
6/21/21,33,1,drought,dry w/ deluge,0.3549685,n,,"Image very crooked like phone tilted, may be distorted"
6/21/21,34,3,ambient (no del),amb,0.3552747,n,,
6/21/21,35,4,ambient (w/ del),amb,0.3563534,n,,Cropped flag from upper corner (~2% of photo missing)
6/21/21,37,2,wet,amb w/ deluge,0.3567602,n,,
6/21/21,38,1,drought,dry w/ deluge,0.3581726,n,,Image slightly crooked from tilted phone
6/21/21,39,3,ambient (no del),amb,0.3537807,n,,
6/21/21,41,1,drought,dry w/ deluge,0.3741047,n,,"Image very crooked like phone tilted, may be distorted"
6/21/21,42,3,ambient (no del),amb,0.3575359,n,,
6/21/21,43,3,ambient (no del),amb,0.3616096,n,,
6/21/21,44,2,wet,amb w/ deluge,0.3616584,n,,
6/21/21,45,4,ambient (w/ del),amb,0.351577,n,,
6/21/21,47,4,ambient (w/ del),amb,0.3633503,n,,
6/21/21,49,1,drought,dry w/ deluge,0.3612445,n,,"Image very crooked like phone tilted, may be distorted"
6/21/21,50,4,ambient (w/ del),amb,NA,y,,Image missing – never cropped
6/27/21,2,3,ambient (no del),amb,0.3814856,n,,Yellow flower in upper corner of photo (~10% of photo)
6/27/21,3,1,drought,dry w/ deluge,0.375504,n,,"Image very crooked like phone tilted, may be distorted"
6/27/21,4,2,wet,amb w/ deluge,0.365605,n,,
6/27/21,5,1,drought,dry w/ deluge,0.3644053,n,,Image slightly crooked from tilted phone
6/27/21,6,3,ambient (no del),amb,0.3559211,n,,
6/27/21,9,3,ambient (no del),amb,0.3585448,n,,
6/27/21,10,2,wet,amb w/ deluge,0.350757,n,,
6/27/21,11,2,wet,amb w/ deluge,0.3549072,n,,
6/27/21,12,4,ambient (w/ del),amb,0.3610325,n,,
6/27/21,13,2,wet,amb w/ deluge,0.3545601,n,,
6/27/21,14,1,drought,dry w/ deluge,0.3529527,n,,Image slightly crooked from tilted phone
6/27/21,15,1,drought,dry w/ deluge,0.3509501,n,,"Image slightly crooked from tilted phone, also cropped flag out of lower corner (<2% missing)"
6/27/21,16,2,wet,amb w/ deluge,0.360625,n,,
6/27/21,18,3,ambient (no del),amb,0.3582977,n,,
6/27/21,19,1,drought,dry w/ deluge,0.3442136,n,,
6/27/21,20,2,wet,amb w/ deluge,0.3566862,n,,
6/27/21,21,4,ambient (w/ del),amb,0.3604555,n,,
6/27/21,22,1,drought,dry w/ deluge,0.3627495,n,,Image slightly crooked from tilted phone
6/27/21,23,4,ambient (w/ del),amb,0.3577419,n,,
6/27/21,24,2,wet,amb w/ deluge,0.3567414,n,,
6/27/21,26,4,ambient (w/ del),amb,0.3646044,n,,
6/27/21,28,3,ambient (no del),amb,0.3433286,n,,
6/27/21,29,4,ambient (w/ del),amb,0.3536264,n,,
6/27/21,30,2,wet,amb w/ deluge,NA,y,,Image missing – never cropped
6/27/21,31,3,ambient (no del),amb,0.3505379,n,,
6/27/21,32,4,ambient (w/ del),amb,NA,y,,Image missing – never cropped
6/27/21,33,1,drought,dry w/ deluge,0.3505349,n,,Image slightly crooked from tilted phone
6/27/21,34,3,ambient (no del),amb,0.3496599,n,,
6/27/21,35,4,ambient (w/ del),amb,0.3565244,n,,Cropped flag out of portion of upper corner (~5% of photo missing)
6/27/21,37,2,wet,amb w/ deluge,0.3494989,n,,
6/27/21,38,1,drought,dry w/ deluge,0.3619362,n,,"Image very crooked like phone tilted, may be distorted"
6/27/21,39,3,ambient (no del),amb,0.3510588,n,,
6/27/21,41,1,drought,dry w/ deluge,0.3690121,n,,"Image very crooked like phone tilted, may be distorted"
6/27/21,42,3,ambient (no del),amb,0.3608634,n,,
6/27/21,43,3,ambient (no del),amb,0.3633154,n,,
6/27/21,44,2,wet,amb w/ deluge,0.3615631,n,,
6/27/21,45,4,ambient (w/ del),amb,0.3525432,n,,
6/27/21,47,4,ambient (w/ del),amb,0.3640671,n,,
6/27/21,49,1,drought,dry w/ deluge,0.3608224,n,,
6/27/21,50,4,ambient (w/ del),amb,0.3568687,n,,
7/5/21,2,3,ambient (no del),amb,0.3875851,n,,
7/5/21,3,1,drought,dry w/ deluge,0.4067778,y,,"Image very crooked like phone tilted, LIKELY distorted"
7/5/21,4,2,wet,amb w/ deluge,0.380577,n,,
7/5/21,5,1,drought,dry w/ deluge,NA,y,,missing
7/5/21,6,3,ambient (no del),amb,0.3843283,n,,
7/5/21,9,3,ambient (no del),amb,0.3872724,n,,
7/5/21,10,2,wet,amb w/ deluge,0.3679472,n,,
7/5/21,11,2,wet,amb w/ deluge,0.3675812,n,,
7/5/21,12,4,ambient (w/ del),amb,0.3758057,n,,
