doy,VWC,depth,Plot,Trt
156,28.31166667,90,15,dry w/ deluge
157,30.43666667,10,15,dry w/ deluge
157,30.44666667,15,15,dry w/ deluge
157,30.45666667,20,15,dry w/ deluge
157,36.63666667,25,15,dry w/ deluge
157,42.81666667,30,15,dry w/ deluge
157,43.39,35,15,dry w/ deluge
157,43.96333333,40,15,dry w/ deluge
157,42.84666667,45,15,dry w/ deluge
157,41.73,50,15,dry w/ deluge
157,37.63333333,55,15,dry w/ deluge
157,33.53666667,60,15,dry w/ deluge
157,28.67833333,65,15,dry w/ deluge
157,23.82,70,15,dry w/ deluge
157,25.96166667,75,15,dry w/ deluge
157,28.10333333,80,15,dry w/ deluge
157,28.27333333,85,15,dry w/ deluge
157,28.44333333,90,15,dry w/ deluge
158,30.185,10,15,dry w/ deluge
158,30.2,15,15,dry w/ deluge
158,30.215,20,15,dry w/ deluge
158,36.425,25,15,dry w/ deluge
158,42.635,30,15,dry w/ deluge
158,43.2875,35,15,dry w/ deluge
158,43.94,40,15,dry w/ deluge
158,42.8125,45,15,dry w/ deluge
158,41.685,50,15,dry w/ deluge
158,37.6925,55,15,dry w/ deluge
158,33.7,60,15,dry w/ deluge
158,28.855,65,15,dry w/ deluge
158,24.01,70,15,dry w/ deluge
158,26.1225,75,15,dry w/ deluge
158,28.235,80,15,dry w/ deluge
158,28.405,85,15,dry w/ deluge
158,28.575,90,15,dry w/ deluge
159,29.93333333,10,15,dry w/ deluge
159,29.95333333,15,15,dry w/ deluge
159,29.97333333,20,15,dry w/ deluge
159,36.21333333,25,15,dry w/ deluge
159,42.45333333,30,15,dry w/ deluge
159,43.185,35,15,dry w/ deluge
159,43.91666667,40,15,dry w/ deluge
159,42.77833333,45,15,dry w/ deluge
159,41.64,50,15,dry w/ deluge
159,37.75166667,55,15,dry w/ deluge
159,33.86333333,60,15,dry w/ deluge
159,29.03166667,65,15,dry w/ deluge
159,24.2,70,15,dry w/ deluge
159,26.28333333,75,15,dry w/ deluge
159,28.36666667,80,15,dry w/ deluge
159,28.53666667,85,15,dry w/ deluge
159,28.70666667,90,15,dry w/ deluge
160,29.68166667,10,15,dry w/ deluge
160,29.70666667,15,15,dry w/ deluge
160,29.73166667,20,15,dry w/ deluge
160,36.00166667,25,15,dry w/ deluge
160,42.27166667,30,15,dry w/ deluge
160,43.0825,35,15,dry w/ deluge
160,43.89333333,40,15,dry w/ deluge
160,42.74416667,45,15,dry w/ deluge
160,41.595,50,15,dry w/ deluge
160,37.81083333,55,15,dry w/ deluge
160,34.02666667,60,15,dry w/ deluge
160,29.20833333,65,15,dry w/ deluge
160,24.39,70,15,dry w/ deluge
160,26.44416667,75,15,dry w/ deluge
160,28.49833333,80,15,dry w/ deluge
160,28.66833333,85,15,dry w/ deluge
160,28.83833333,90,15,dry w/ deluge
161,29.43,10,15,dry w/ deluge
161,29.46,15,15,dry w/ deluge
161,29.49,20,15,dry w/ deluge
161,35.79,25,15,dry w/ deluge
161,42.09,30,15,dry w/ deluge
161,42.98,35,15,dry w/ deluge
161,43.87,40,15,dry w/ deluge
161,42.71,45,15,dry w/ deluge
161,41.55,50,15,dry w/ deluge
161,37.87,55,15,dry w/ deluge
161,34.19,60,15,dry w/ deluge
161,29.385,65,15,dry w/ deluge
161,24.58,70,15,dry w/ deluge
161,26.605,75,15,dry w/ deluge
161,28.63,80,15,dry w/ deluge
161,28.8,85,15,dry w/ deluge
161,28.97,90,15,dry w/ deluge
